RegionName,Deaths,Recovered
Abruzzo,118298,726039
Basilicata,9701,118290
Calabria,27843,340045
Campania,135059,1999384
Emilia-Romagna,1078654,5730286
Friuli Venezia Giulia,93423,977099
Lazio,232956,1915262
Liguria,389584,2695953
Lombardia,4176471,19723398
Marche,249355,1352053
Molise,7859,122208
P.A. Bolzano,76493,740675
P.A. Trento,108123,1212466
Piemonte,1002044,6929361
Puglia,152055,1094388
Sardegna,41219,458256
Sicilia,99100,1103334
Toscana,298186,3003969
Umbria,27419,656008
Valle d'Aosta,39875,322404
Veneto,522315,5058361
